ID_Accidente,Fecha,Hora,Ubicacion,Operador,Número_Vuelo,Ruta,Tipo_Aeronave,Matricula,Número_Construccion,Total_Pasajeros,Pasajeros_A Bordo,Tripulacion_A Bordo,Total_Fallecidos,Fallecidos_Pasajeros,Fallecidos_Tripulacion,Fallecidos_En_Tierra,Resumen,Año
1751,1959-02-03,0100,"Mason City, Iowa",Dwyer Flying Service - Private Charter,?,Mason City - Fargo,Beechcraft Bonanza 35,N3794N,D- 1019,4.0,3.0,1.0,4.0,3.0,1.0,0.0,"Buddy Holly chartered the plane to fly to Fargo after appearing as part of the Winter Dance Party tour at Clearlake, Iowa.  J.P. ""The Big Bopper"" Richardson, who was suffering from the flu, talked Waylon Jennings into giving up his seat. Ritchie Valens won a coin-toss and went in place of Tommy Allsup. He commented ""I never won anything in my life"" after winning the coin-toss. The plane took off into deteriorating weather conditions. The pilot, Roger Peterson, was not certified to fly IFR. The wreckage of the plane was found the next morning in a snowy meadow, 5 miles NW of the airport. The plane hit the ground at a high rate of speed and singers Ritchie Valens, 17, Buddy Holly, 22, Jiles P. ""The Big Bopper"" Richardson, 28, as well as the pilot, were killed instantly. It appeared, the pilot became disoriented and flew the plane into the ground.  Officially: The pilot's decision to undertake a flight in which the likelihood of encountering IFR conditions existed, when he was not certified to fly IFR. Also, deficiencies in the weather briefing and the pilot's unfamiliarity with the instrument which determines the attitude of the aircraft. In later years, a story appeared in the Iowa Globe Gazette in which a pilot, Al Potter, flying in the vicinity of the aircraft that night, claimed he was in contact with the aircraft shortly before it crashed. Potter stated the pilot radioed he had taken on ice and was losing power.",1959
4384,2002-04-12,0407,"Palma de Mallorca, Spain",Tadair,306,Madrid - Palma de Mallorca,Swearingen SA.227AC Metro III,EC-GKR,AC-620,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The cargo plane crashed into lights near the runway threshold while attempting to land on Runway 24L.,2002
3815,1993-01-09,?,"Surabaya, Indonesia",Bouraq Indonesia Airlines,?,?,Hawker Siddeley HS-748-234,PK-IHE,1620,44.0,39.0,5.0,17.0,13.0,4.0,0.0,"The No. 2 engine lost power on takeoff. The aircraft crashed into a swamp 800m beyond the end of the runway, broke up and caught fire.  Flaps were found to be retracted.  Right propeller did not autofeather and had to be feathered manually.",1993
4643,2007-08-09,1200,"Off Moorea, French Polynesia",Air Moorea,1121,Moorea - Papeete,de Havilland Canada DHC-6 Twin Otter 300,F-OIQ,608,20.0,19.0,1.0,20.0,19.0,1.0,0.0,Soon after taking off the plane began loosing altitude and veered to the right until it crashed into the sea 1 mile beyond the runway. Loss of pitch control of the aircraft following a break in an elevator cable.,2007
84,1923-09-14,c 18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,?,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed while attempting a forced landing after encountering heavy rain.,1923
538,1938-11-26,1520,"Bathurst, Gambia",Deutsche Lufthansa,?,?,Junkers JU90V2,D-AIVI,4914,15.0,10.0,5.0,12.0,9.0,3.0,0.0,During takeoff the aircraft hit a palm tree and burst into flames due to double engine failure.,1938
3976,1995-08-14,?,"Nevada del Huila, Colombia",AIRES Colombia,145,Neiva - Cali,Embraer 110P1 Bandeirante,HK-2594,110310,10.0,8.0,2.0,10.0,8.0,2.0,0.0,"Crashed into Nevado de Huila at an elevation of 14,500 feet.",1995
471,1937-08-08,1050,"Chilang Point, Bias Bay, China",China National Aviation Corporation,?,Canton - Shanghi,Sikorsky S-43,NC16930,?,11.0,8.0,3.0,3.0,0.0,3.0,0.0,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued. The aircraft was named Chekiang.,1937
2829,1975-11-22,?,"Sofia, Bulgaria",Balkan Bulgarian Airlines,?,Sofia - Varna,Antonov AN-24B,LZ-ANA,67302707,48.0,45.0,3.0,3.0,2.0,1.0,0.0,Crashed shortly after takeoff. Stalled crashed. Icing.,1975
2792,1975-02-16,1900,"Fairbanks, Alaska",Pacific Alaska Airlines,?,Fairbanks - Happy Valley Camp,Douglas DC-6BF,N77DG,43520/222,3.0,0.0,3.0,3.0,0.0,3.0,0.0,The cargo plane lost three of four engines on takeoff. The crew tried to return to the airport but crashed short of the runway. Fuel contamination. Water in fuel.,1975
691,1943-08-27,0900,"Rio de Janeiro, Brazil",VASP,?,Sao Paulo - Rio de Janeiro,Junkers JU-52/3m,PP-SPD,5459,21.0,18.0,3.0,18.0,18.0,3.0,0.0,"Struck a Naval Academy building while attemptin to take off in heavy fog.  The plane then broke in two and fell into the harbor. The plane was named ""City of Rio de Janiero.""",1943
4385,2002-04-15,11:23,"Busan, South Korea",Air China,129,Beijing - Busan,Boeing B-767-200ER,B-2552,23308/127,166.0,155.0,11.0,128.0,120.0,8.0,0.0,"The aircraft crashed onto a mountain, in fog, wind and rain while attempting to land at Kimhae Airport. A strong southerly wind required the aircraft to make a turn and approach the runway from the north. The aircraft crashed near the peak of Mt. Mulbong, approximately 3 mile north of the runway. The plane bounced three times before hitting the ground and exploding. More than 1,000 trees were uprooted by the impact. The plane was off course when the crew turned on final. The flight crew performed the circling approach, not being aware of the weather minima of wide-body aircraft (B767-200) for landing, and in the approach briefing, did not include the missed approach, etc., among the items specified in Air China’s operations and training manuals. The flight crew exercised poor crew resource management and lost situational awareness during the circling approach to runway 18R, which led them to fly outside of the circling approach area, delaying the base turn, contrary to the captain’s intention to make a timely base turn. The flight crew did not execute a missed approach when they lost sight of the runway during the circling approach to runway 18R, which led them to strike high terrain (mountain) near the airport. When the first officer advised the captain to ascend again for landing, about 5 seconds before impact, the captain did not react, nor did the first officer initiate the missed approach himself.",2002
877,1946-07-26,08:30,"Near Huatesco, Veracruz, Mexico",Communicaciones Aereos de veracruz,?,Jalapa - Cordoba,Fairchild Pilgrim 100A,XA-DEJ,?,9.0,,,9.0,,,0.0,"Returned to the airport after suffering engine failure, the plane crashed 40 miles southeast of Jalapa.",1946
1268,1951-08-08,2100,"Barilla Bay, Australia",Trans Australia Airlines,?,Hobart Melbourne,?,VH-TAT,13083,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Cargo plane. Loss of lateral control during a turn at low altitude soon after takeoff. The probable cause of the loss of lateral control was the presence of ice on the aircraft surface.,1951
157,1928-08-25,c 11:00,"Near Port Townsend, BC, Canada",British Columbia Airways,?,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7.0,5.0,2.0,7.0,5.0,2.0,0.0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,1928
2696,1973-07-31,1008,"Logan Airport, Boston, Massachusetts",Delta Air Lines,723,"Burlilngton, VT  - Boston, MA",McDonnell Douglas DC-9-31,N975NE,47075/166,89.0,83.0,6.0,89.0,83.0,6.0,0.0,The flight crashed into a seawall during ILS approach in adverse weather conditions. The failure of the flightcrew to monitor altitude and to recognize passage of the aircraft through the approach decision height during an unstabilized precision approach conducted in rapidly changing meteorological conditions. Poor positioning of the aircraft for an approach by ATC. Questionable information presented by the flight director.,1973
4727,2009-05-20,0630,"Near Madiun, Indonesia",Military - Indonesian Air Force,?,Jakarta - Maduin,Lockheed C-130 Hercules,A-1325,1982,112.0,98.0,14.0,112.0,98.0,14.0,2.0,"While on approach, the military transport crashed into 4 houses, skidded into a rice field and burst into flames.",2009
828,1945-11-11,2345,"Near Castel, Libya",Military -Royal Air Force,?,?,Short Stirling,PJ950,?,29.0,22.0,7.0,29.0,22.0,7.0,0.0,"While taking off the aircraft experienced an engine fire, stalled and crashed and burned.",1945
2804,1975-06-24,1605,"JFK Airport, New York, New York",Eastern Air Lines,66,New Orleans - New York City,Boeing B-727-225,N8845E,20443/837,124.0,116.0,8.0,113.0,107.0,6.0,0.0,"The aircraft crashed into the approach lights to runway 22L at JFK while on an ILS approach to the runway. Aircraft's encounter with heavy rain and a very strong thunderstorm that was located astride the ILS localizer course which resulted in a high descent rate into approach light towers.The flightcrew's delayed recognition and correction of the high descent rate and their reliance upon visual cues rather than on flight instrument reference. However, the adverse winds might have been too severe for a successful approach and landing even had they relied upon and responded rapidly to the indications of the flight instruments.Contributing to the accident was the continued use of Runway 22L when it should have become evident to both air traffic control personnel and the flightcrew that a severe weather hazard existed along the approach path.",1975
491,1938-01-11,0803,"Pago Pago, U.S. Samoa",Pan American World Airways,1,Oakland - Honolulu - Kingman Reef - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7.0,0.0,7.0,7.0,0.0,7.0,0.0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first and chief pilot, Captain Edwin C. Musick, killed.",1938
4901,2014-09-20,0935,"Near Port Moresby, Papua New Guinea",Hevlift,?,Woitape - Port Moresby,de Havilland Canada DHC-6 Twin Otter 300,P2-KSV,528,9.0,7.0,2.0,4.0,2.0,2.0,0.0,"While approaching Port Moresby Jacksons International Airport, the unscheduled passenger plane impacted terrain near the top of Mt. Lawes, 7 miles east northeast of the airport in poor weather. The crew continued the descent in instrument meteorological conditions without confirming their position. The flight crew’s assessment of their position was incorrect and they had lost situational awareness.",2014
3771,1992-07-14,?,"Near Nakhichevan, Azerbaijan",Military - Russian Air Force,?,Nakhichevan - Rostov,Antonov AN-12V,CCCP-11111,1347903,34.0,27.0,7.0,29.0,24.0,5.0,0.0,Cashed and burned after taking off. Fuel starvation.,1992
2818,1975-09-24,?,"Near Palembang, Indonesia",Garuda Indonesia Airlines,150,Jakarta - Palembang,Fokker F-28 Fellowship 1000,PK-GVC,11039,61.0,57.0,4.0,25.0,21.0,4.0,1.0,Landed short and struck trees while on approach in poor weather. VFR flight in weather conditions below minima.,1975
1436,1954-01-02,?,"Herat, Afghanistan",Ariana Afghan Airlines,?,?,Douglas DC-3,?,?,21.0,,,21.0,,,0.0,Two Russian trade delegates were killed when the plane crashed near Herat in a showstorm.,1954
106,1925-11-14,?,"Off Boulogne-sur-Mer, France",Air Union,?,?,Farman F-60 Goliath,F-FHMY,?,2.0,,,2.0,,,0.0,?,1925
4871,2013-10-03,0932,"Lagos, Nigeria",Associated Aviation,361,Lagos - Akure,Embraer 120RT Brasilia,5N-BJY,120174,20.0,13.0,7.0,16.0,11.0,5.0,0.0,"The chartered plane crashed minutes after taking off from Murtala Muhammad International Airport.The aircraft lost height, after departing runwal 18L, impacted trees, a brick wall and caught fire. The decision of the crew to continue the take-off despite the abnormal No. 2 Propeller rpm indication. Low altitude stall as a result of low thrust at start of roll for take-off from No. 2 engine caused by an undetermined malfunction of the propeller control unit.",2013
3632,1990-02-27,1947,"Denver, Colorado",Federal Express,?,Aspen - Denver,Cessna 208A Caravan I Cargomaster,N820FE,208-00043,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While on an ILS approach, the cargo plane encountered icing conditions. Subsequently it entered a steep descent and crashed short of the runway. The accumulation of structural ice and subsequent stalling of the aircraft. The icing condition was a related factor.",1990
1534,1955-09-02,?,"Lanywa, Burma (Myanmar)",Union of Burma Airways,?,Meiktila - Lanywa,Douglas DC-3,XY-ACQ,12579,12.0,9.0,3.0,12.0,9.0,3.0,0.0,Flew into Mount Popa located about 45 km east of Lanywa.,1955
2222,1966-03-20,?,"Asuncion, Paraguay",Servicios Americanos,?,Asunción – Montevideo,Curtiss C-46F,N1245N,22473,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The cargo plane crashed on takeoff.,1966
79,1923-02-26,?,"Meadville, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,291,?,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,1923
2191,1965-11-08,1902,"Cincinnati Airport, near Covington, Kentucky",American Airlines,383,New York City - Cincinnati,Boeing B-727-23,N1996,18901/153,62.0,56.0,6.0,58.0,53.0,5.0,0.0,"The aircraft crashed short of runway during a visual approach in deteriorating weather conditions. Failure of the flight crew to properly monitor the aircraft's height during the approach into deteriorating weather conditions resulting in an excessive sink rate. Excessive sink rate is thought to have caused four 727 accidents in succession.  Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected.",1965
4563,2005-08-10,1243,"Off Talinn, Estonia",Copterline,?,"Talinn, Estonia - Helsinki, Finland",Sikorsky S-76C,OH-HCI,760508,14.0,12.0,2.0,14.0,12.0,2.0,0.0,"The helicopter crashed at sea about 3 miles off the coast near the island of Naissaar, after disappeared from Tallinn ATC radar 3 minutes after take-off from Tallinn in gusty wind conditions. Failure of the power steering system, caused by coating flaking off from servo pistons. The loosened plasma coating flakes blocked the return valves of the servos, causing the aircraft to abruptly lose its maneuverability",2005
4423,2002-12-27,1500,"Anjouan, Comoros Islands",Ocean Airlines,?,Moroni Hahaya - Anjouan,Let 410UVP,9XR-RB,810636,16.0,14.0,2.0,1.0,1.0,0.0,0.0,"The aircraft was in a holding pattern due to bad weather at Anjouan. After weather condtions improved, clearance was given for a final approach. The plane was struck by lightning. A go-around was attempted, but the airplane lost its artificial horizons and gyro compasses as a result of the lightning strike. Control was lost and the plane crashed.",2002
199,1929-09-14,?,North Atlantic Ocean,Aeropostale,?,"Toulouse, France - Casablanca, Morocco",Latecoere 25,F-AIUJ,704,6.0,4.0,2.0,6.0,4.0,2.0,0.0,"Crashed at sea, 30 miles from Larache, Morocco for unknown reasons.",1929
2796,1975-03-16,1340,"Near Barito, Argentina",Military - Argentine Air Force,?,El Palomar AB - San Carlos de Bariloche,Fokker F-27 Friendship 400M,TC-72,10404,55.0,50.0,5.0,55.0,50.0,5.0,0.0,The aircraft struck a mountain while preparing for an ILS approach in poor weather. Crew error. Crew descended below the minimum safe altitude before knowing their position.,1975
599,1940-12-24,1130,"Capri Island, Italy",Ala Littolia,?,Catania - Rome,Savoia-Marchetti SM.75,I-LIGO,32035,7.0,3.0,4.0,7.0,3.0,4.0,0.0,"While en route, the aircraft was shot down by the pilot of a RAF fighter and crashed into the sea some 40 miles southwest of the Capri Island.",1940
485,1937-12-05,0900,"Brindisi Harbor, Italy",Imperial Airways,?,India - London,Short Empire Flying Boat,G-ADUZ,?,19.0,13.0,6.0,2.0,1.0,1.0,0.0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.,1937
1047,1948-06-10,2000,Isle of Man,Hargreaves Airways,?,"Birmingham, England - Isle of Man",de Havilland DH-89A Dragon Rapide,G-AIUI,6675,8.0,7.0,1.0,6.0,5.0,1.0,0.0,Crashed into a hill near Port Erin while attempting to land. The plane had failed to maintain both the proper course to the homing beacon and suffiecient altitude to clear the terrain.,1948
3906,1994-07-26,?,"East Kalimantan, Indonesia",Airfast Services,?,Kilo Lima - Kelawit,Sikorsky S-58ET,PK-OBT,58-1098,18.0,16.0,2.0,18.0,16.0,2.0,0.0,The helicopter crashed 5 minutes after taking off from Kilo Lima.,1994
1075,1948-11-08,0740,"Mt. Macedon, Australia",Australian National Airways,?,Melbourne - Denilquin,Douglas DC-3,VH-UZK,2003,23.0,19.0,4.0,3.0,0.0,3.0,0.0,Crashed into Mt. Macedon hidden in fog. The pilot deviated off course from his flight plan and failed to follow VFR flight rules.,1948
842,1946-01-14,?,"Near Netrubezh, Russia",Aeroflot,?,"Kharkov, Ukraine - Moscow",Lisunov Li-2,SSSR-4150,?,22.0,17.0,5.0,22.0,17.0,5.0,0.0,Experienced severe icing resulting in buffeting and structural failure.,1946
3595,1989-10-10,13:39,"Lacey Township, New Jersey",Air Taxi - Paramount Aviation Corp.,?,"New York, NY - Atlantic City, NJ",Agusta A109A MK II,N21FL,7309,5.0,4.0,1.0,5.0,4.0,1.0,0.0,"In-flight separation of a main rotor blade of the helicopter due to fatigue failure of the main rotor blade spar, which originated at a manufacturing induced scratch (tool mark) that was the result of inadequate quality control.",1989
2610,1972-05-29,0604,"Dulac, Louisiana",Petrolium Helicopter,?,"Dulac, LA - Gulf oil platform",Bell 205A,N2256W,?,11.0,10.0,1.0,11.0,10.0,1.0,0.0,Crashed into the water after the fatigue failure of both tail rotor blade grips.,1972
1370,1953-01-26,1144,"Sinnai, Sardinia, Italy",Linee Aeree Italiane,?,Cagliari - Rome,Douglas DC-3,I-LAIL,4308,19.0,15.0,4.0,19.0,15.0,4.0,0.0,Crashed 10 miles east of Cagliari in the Sinnai mountains after a wing failed due to overstressing.,1953
4715,2009-02-15,1915,"Chanco, Chile",Flight Service,?,?,Bell UH-1H,CC-CBW,?,13.0,12.0,1.0,13.0,12.0,1.0,0.0,The helicopter was carrying firemen to a nearby forest fire when it crashed into a fog shrouded mountain killing all aboard.,2009
1322,1952-04-09,08:07,"Mihara Volcano, Japan",Japan Air Lines,?,Tokyo - Osaka,Martin 202,N93043,9164,37.0,33.0,4.0,37.0,33.0,4.0,0.0,"On an early morning flight, under instrument conditions, the crew flew the route segment from Tokyo to Oshima Island 1,000 ft. below the minimum instrument altitude.  At Oshima Island the aircraft crashed into the side of Mihara volcano.",1952
501,1938-03-08,?,"Somerton, Australia",Australian National Airways,?,Training,De Havilland DH-60,VH-UNU,?,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The pilot made a sharp turn, lost control of the aircraft and chrashed.",1938
4099,1997-07-18,1032,"Goroka,  New Guinea",Goroka Air Services,?,Chimbu - Goroka,de Havilland Canada DHC-6 Twin Otter 300,P2-MMU,250,4.0,3.0,1.0,2.0,1.0,1.0,0.0,Crashed into Mt. Yasirua in poor weather. Navigational error. No published instrument flying procedures. No GPS used for primary navigation.,1997
1020,1948-02-10,1630,"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,?,Bandung - Jakarta - Banjoemans - Semarang,Douglas DC-3,PK-REA,16380/33128,19.0,15.0,4.0,19.0,15.0,4.0,0.0,Crashed and burned on the island of Java. The crew reported they lost an engine. While trying to return the plane crashed and exploded.,1948
2094,1964-03-28,2239,"Mt. Vesuvius, Italy",Alitalia,045,Rome - Napoli,Vickers Viscount 785D,I-LAKE,328,45.0,40.0,5.0,45.0,40.0,5.0,0.0,The plane crashed during  final approach. Failure to discontinue visual approach in the absence of minimum visibility conditions required for the type of maneuvers involved. Abnormally wide initiation of down wind leg which brought the aircraft along an unsafe path in relation to the terrain in the area.,1964
4691,2008-08-13,0730,"K-50 Airport, Somalia",Fly 540,?,Kenya - Somalia,Fokker F-27 Friendship 500,5Y-BVF,10627,3.0,0.0,3.0,3.0,0.0,3.0,0.0,While on approach in poor weather the cargo plane struck a telephone line and crashed. Extremely poor weather conditions.,2008
4671,2008-04-28,0938,"Off Crimea, Black Sea",Naftogaz,?,?,Mil Mi-8T,UR-24275,98734295,20.0,18.0,2.0,20.0,18.0,2.0,0.0,The helicopter crashed after the tail section hit the tower of the offshore drilling platform while it was attempting to land. The pilot was a trainee flying with an instructor. One survivor succumbed to his injuries soon after the crash.,2008
2072,1963-11-29,1833,"Ste. Therese de Blainville, Canada",Trans Canada Air Lines,831,Montreal - Toronto,McDonnell Douglas DC-8F-54F,CF-TJN,45654/179,118.0,111.0,7.0,118.0,111.0,7.0,0.0,The aircraft crashed about 5 minutes after leaving Dorval Airport in Montreal. Icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the Pitch Trim Compensator.,1963
3100,1980-09-17,?,"Near Kindu, Zaire",Military - Zairean Air Force,?,?,de Havilland DHC-5 Buffalo,9T-CBA,60,36.0,34.0,2.0,36.0,34.0,2.0,0.0,Crashed shortly after taking off.,1980
4163,1998-08-24,1646,"Pretoria, South Africa",Speed Service Couriers,?,Pretoria - Durban,DC-3-65TP,ZS-NKK,13143,2.0,0.0,2.0,1.0,0.0,1.0,0.0,"The cargo plane took off in a steep angle, rolled to the left and crashed and burned. The taking off with the elevator trim set to the full nose-up position. This resulted in the nose of the aircraft pitching up after rotation, causing the pilot to lose control of the aircraft.",1998
683,1943-06-30,?,"Khartoum, Sudan",British Overseas Airways,?,?,Lockheed Hudson VI,FK-618,?,16.0,,,16.0,,,0.0,?,1943
2080,1964-02-03,0800,"Gainsville, Florida",South Central Airlines,510/3,Gainsville - Jacksonville,Beech D18S,N2999,A-811,10.0,9.0,1.0,10.0,9.0,1.0,0.0,"The aircraft made a steep climb to 200 ft., stalled and crashed striking the departure end of Runway 6. Pilot's failure to properly load the aircraft, resulting  in insufficient elevator effectiveness to reverse an unwanted pitching motion.",1964
4089,1997-04-19,0739,"Tanjung Pandan, Indonesia",Merpati Nusantara Airlines,106,Jakarta - Tanjung Pandan,British Aerospace ATP,PK-MTX,2048,53.0,48.0,5.0,15.0,11.0,4.0,0.0,"During the final stage of a visual approach, one of the aircraft's engines failed. The crew failed to correctly identify the problem and because of the flight regime, the propeller did not autofeather. The approach was continued, however, as the aircraft descended through about 2,000ft., power was applied at the start of a go-around. Control was lost and the aircraft crashed.",1997
1209,1950-11-03,0943,"Mont Blanc, France",Air India,245,Bombay - Cairo - Geneva - London,Lockheed 749 Constellation,VT-CQP,2506,48.0,40.0,8.0,48.0,40.0,8.0,0.0,"The aircraft crashed in a snowstorm 200 meters below Mont Blanc summit. The crew was warned by a Geneva controller to climb immediately. They acknowledged the message but soon after struck the mountain. The exact cause of the accident remains undetermined. Most likely the aircraft was caught in violent gust while trying to overfly the summit. The plane was named ""Malabar Princess.""",1950
414,1936-04-07,1020,"Uniontown, Pennsylvania",Trans Continental and Western Air,1,Newark - Los Angeles,Douglas DC-2-112,NC13721,1247,14.0,11.0,3.0,12.0,10.0,2.0,0.0,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio.",1936
1487,1954-10-31,1510,"Mangalore, Australia",TAA,?,Training,Vickers 720 Viscount,VH-TVA,44,8.0,0.0,8.0,3.0,0.0,3.0,0.0,"Crashed during takeoff. An error of judgement on the part of the pilot-in-command in that he took the aircraft into the air at a speed below the minimum control speed, following loss of directional control during the ground run.",1954
393,1935-10-21,1100,"Troy, New York",Chamberlin Flying Service,?,Troy - Teterboro,Curtiss AT-32C Condor,NC725K,G-2,6.0,4.0,2.0,1.0,0.0,1.0,0.0,The plane lost the left engine shortly after taking off. The pilot tried to make an emergency landing but was caught in a downdraft and the plane crashed.,1935
4420,2002-12-21,0152,"Off Pachao Tao, Taiwan",Transasia Airways,791,Taipei - Macau,Aérospatiale/Aeritalia ATR-72-202,B-22708,322,2.0,0.0,2.0,2.0,0.0,2.0,0.0,While en route the stall warning sounded and the stick shaker activated. The crew of the cargo plane disconnected the autopilot and tried to gain control of the plane. The plane began to descend from FL170 until it impacted the ocean.,2002
4160,1998-08-11,?,"Saurimo, Angola",Alada,?,?,Antonov An-12BP,D2-FAZ,8345601,13.0,6.0,7.0,1.0,0.0,1.0,0.0,Blew a tire while landing causing the plane to to run off the runway and crash.,1998
429,1936-08-05,2200,"St. Louis, Missouri",Chicago Southern Airlines,4,New Orleans - Chicago,Lockheed 10B Electra,NC16022,1057,8.0,6.0,2.0,8.0,6.0,2.0,0.0,"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground.",1936
2144,1965-02-13,1022,"Near Shirinbulak, Azerbaijan",Aeroflot,A-3,Yevlakh - Nuha,Ilyushin IL-14P,CCCP-52003,602112,23.0,19.0,4.0,23.0,19.0,4.0,0.0,Crashed. Crew error. Premature descent.,1965
1293,1951-12-13,?,"Yaramunda, Papua, New Guinea",Qantas,?,Mount Hagen - Madang,de Havilland DH-84 Dragon,VH-UR,?,3.0,2.0,1.0,3.0,2.0,1.0,0.0,"While flying in a narrow valley, the pilot elected to gain height when the aircraft hit trees and crashed in flames. Pilot error.",1951
4231,1999-09-17,?,"Mt. Hidalgo, Mexico",Military - Mexican Air Force,?,Test flight,Lockheed C-130A Hercules,3610,3217,5.0,0.0,5.0,5.0,0.0,5.0,0.0,The plane crashed just after maintenance personell replaced parts and were testing the plane.,1999
3492,1988-04-28,1346,"Maui, Hawaii",Aloha Airlines,243,Hilo - Honolulu,Boeing B-737-297,N73711,20209,95.0,90.0,5.0,1.0,0.0,1.0,0.0,"The aircraft suffered separation of the top of the fuselage resulting in explosive decompression and severe structural damage. Fflight attendant C.B. Lansing was sucked out of the opening in the fuselage and her body never recovered. The plane named Queen Lili'uokalani, made a safe emergency landing at Kahuiui Airport on Maui. Failure of Aloha Airline's maintenance program to detect the presence of disbonding and fatigue damage which led to failure of the lap joint at S-10L and the separation of the fuselage upper lobe. Contributing factors were the failure of Aloha Airline's management to properly supervise its maintenance crew as well as the failure of the FAA to properly evaluate the Aloha Airlines maintenance program and to assess the airline's inspection and quality control deficiencies. In addition the maintenance program underestimated the need for inspections with the large number of pressurizations/depressurizations and humid salt air climate the plane was subjected to.",1988
1073,1948-11-03,1050,"Near Glossop, England",Military - U.S. Air Force,?,RAF Scrampton - Burtonwood AFB,Boeing B-29A Superfortress,44-61999,11476,13.0,0.0,13.0,13.0,0.0,13.0,0.0,"Twenty-five minutes into the flight, the pilot descended prematurely and collided with a cloud covered mountain.",1948
1258,1951-06-29,?,"Near Rijeka, Yugoslavia",JAT Yugoslav Airlines,?,Rejeka - Zagreb,Junkers 52/3m,YU-ACE,316,14.0,11.0,3.0,14.0,11.0,3.0,0.0,The plane encountered poor weather conditions with thunderstorm activity and turbulence leading to loss of control and crash.,1951
807,1945-09-15,0008,"Near Kansas, Missouri",Military - U.S. Army Air Forces,?,?,Douglas C-47B-DK,45-1011,34277,24.0,21.0,3.0,23.0,20.0,3.0,0.0,"Failed to gain altitude while taking off, struck trees, lost both wings, exploded and burned. Engine failure.",1945
497,1938-02-13,1430,Mediterranean Sea,Ala Littoria SA,?,Cadiz - Pollença -Alghero - Rome,Cant Z-506,I-ORIA,297,14.0,10.0,4.0,14.0,10.0,4.0,0.0,Disappeared over the Mediterranean Sea while flying in a storm.,1938
4192,1999-02-02,0508,"Luanda, Angola",Savannair,?,Luanda - Lucapa,Antonov AN-12,EL-ASS,3340909,14.0,10.0,4.0,14.0,10.0,4.0,13.0,"The plane was on a flight to Lucapa, when it was forced to return to Luanda due to engine trouble. While approaching Luanda, the aircraft crashed into the Cazenga district of Luanda destroying five houses.",1999
3844,1993-07-12,1455,"Talladega, Alabama",Private,?,Birmingham - Talladega,"Helicopter, Hughes 369HS",N9116F,720396S,2.0,1.0,1.0,1.0,1.0,0.0,0.0,"The helicopter crashed while attempting to land in a confined area of the infield of the Talladega Super Speedway. The pilot of the helicopter, NASCAR race car driver Davey Allison, 30, killed. The pilot's poor in-flight decision to land downwind in a confined area that was surrounded by high obstructions, and his failure to properly compensate for the tailwind condition.",1993
373,1935-05-18,1835,"Flint, Michigan",Knowles Flying Service of Detroit,?,Sightseeing,Ford model 4-AT-E,WC-7864,4-AT-49,12.0,11.0,1.0,3.0,2.0,1.0,0.0,"While on a sightseeing trip, the plane ran out of fuel and crashed. Carelessness and negligence on the part of the pilot for not replenishing his fuel supply before it got dangerously low and poor judgment on his part for attempting to return to the airport when there was open terrain ahead of him. Many passengers did not use their seatbelts nor were they instructed in their use.",1935
